Core: q_sys_mem_if_ddr3_emif_0_p0 - Instance: inst9|mem_if_ddr3_emif_0
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 85C Model)",0.612,0.621
"Bus Turnaround Time (Slow 1100mV 85C Model)",8.312,--
"Core (Slow 1100mV 85C Model)",0.816,0.235
"Core Recovery/Removal (Slow 1100mV 85C Model)",1.707,0.569
"DQS vs CK (Slow 1100mV 85C Model)",0.355,0.37
"Postamble (Slow 1100mV 85C Model)",0.501,0.501
"Read Capture (Slow 1100mV 85C Model)",0.234,0.223
"Write (Slow 1100mV 85C Model)",0.378,0.378
"Address Command (Slow 1100mV 0C Model)",0.668,0.548
"Bus Turnaround Time (Slow 1100mV 0C Model)",8.366,--
"Core (Slow 1100mV 0C Model)",0.849,0.212
"Core Recovery/Removal (Slow 1100mV 0C Model)",1.928,0.504
"DQS vs CK (Slow 1100mV 0C Model)",0.362,0.394
"Postamble (Slow 1100mV 0C Model)",0.487,0.487
"Read Capture (Slow 1100mV 0C Model)",0.249,0.238
"Write (Slow 1100mV 0C Model)",0.385,0.385
"Address Command (Fast 1100mV 85C Model)",1.103,0.326
"Bus Turnaround Time (Fast 1100mV 85C Model)",8.557,--
"Core (Fast 1100mV 85C Model)",1.356,0.156
"Core Recovery/Removal (Fast 1100mV 85C Model)",2.856,0.328
"DQS vs CK (Fast 1100mV 85C Model)",0.427,0.478
"Postamble (Fast 1100mV 85C Model)",0.667,0.667
"Read Capture (Fast 1100mV 85C Model)",0.321,0.313
"Write (Fast 1100mV 85C Model)",0.405,0.405
"Address Command (Fast 1100mV 0C Model)",1.179,0.271
"Bus Turnaround Time (Fast 1100mV 0C Model)",8.567,--
"Core (Fast 1100mV 0C Model)",1.365,0.116
"Core Recovery/Removal (Fast 1100mV 0C Model)",3.088,0.294
"DQS vs CK (Fast 1100mV 0C Model)",0.437,0.488
"Postamble (Fast 1100mV 0C Model)",0.662,0.662
"Read Capture (Fast 1100mV 0C Model)",0.321,0.314
"Write (Fast 1100mV 0C Model)",0.407,0.407
